Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
AERO2004/L1/01,Professional Engineering and Project 2,Lecture,16,Monday,9:00,10:30,1:30,DB-C07+,The Lord Dearing Building - Teaching Room C07,20,"Devinder Yadav,Sannia Mareta","2, 4-10, 13-14"
AERO1000/L1/01,Aerospace Design and Materials,Lecture,55,Monday,9:00,12:00,3:00,IAMET- 218 (Teaching room)+,IAMET- 218,77,Haonan Li,"2, 4-10, 13-14, 17-18"
AERO2003/L1/01,Dynamics and Flight Mechanics,Lecture,16,Monday,12:00,15:00,3:00,IAMET- 218 (Teaching room)+,IAMET- 218,77,"Yixiang Xu,Dinesh Bhatia","2, 4-10, 13-14, 17-18"
AERO1001/L1/01,Aerospace Statics and Dynamics,Lecture,55,Monday,15:00,18:00,3:00,IAMET- 218 (Teaching room)+,IAMET- 218,77,Chungket Thein,"2, 4-10, 13-14, 17-18"
AERO2000/P1/01,Aerospace Design 2,Practical,4,Monday,15:00,18:00,3:00,,,,Haonan Li,10
,,,,,,,,,,,,
Tuesday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
AERO1005/L1/01,Aerospace Electrical and Electronic Engineering 1,Lecture,55,Tuesday,9:00,12:00,3:00,IAMET- 218 (Teaching room)+,IAMET- 218,77,Michael Galea,"2, 4-10, 13-14"
AERO2004/L1 (wk17-18)/01,Professional Engineering and Project 2,Lecture,16,Tuesday,9:00,10:30,1:30,IAMET- 218 (Teaching room)+,IAMET- 218,77,"Devinder Yadav,Sannia Mareta",17-18
AERO2001/L1/01,Airframe and Materials,Lecture,16,Tuesday,12:00,15:00,3:00,IAMET- 218 (Teaching room)+,IAMET- 218,77,A Aero New 1,"2, 4-10, 13-14, 17-18"
AERO1000/P1/01,Aerospace Design and Materials,Practical,13,Tuesday,15:00,18:00,3:00,IAMET-101(Lab)+,IAMET-101,18,"Benli Fang,Haonan Li",5
AERO1000/P1/02,Aerospace Design and Materials,Practical,13,Tuesday,15:00,18:00,3:00,IAMET-101(Lab)+,IAMET-101,18,"Benli Fang,Haonan Li",6
AERO1005/P1/01,Aerospace Electrical and Electronic Engineering 1,Lecture,1,Tuesday,15:00,18:00,3:00,PMB-208*,PMB Lab Room 208 - Level 2 - Electrical engineering lab &Physics Lab,40,"Benli Fang,Michael Galea",7
