Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
CIVE2053/L1/01,Civil & Structural Steel Design Project,Lecture,11,Monday,9:00,12:00,3:00,PMB-115 (teaching)*,PMB - Lab Room 115 - Level 1 - Engineering Application workshop,56,Ahmed Elamin,"2, 4-14"
CIVE4078/L1/01,Fundamentals of Satellite Positioning,Lecture,8,Monday,10:00,12:00,2:00,PB-217+,Portland Building-Seminar Room 217 - Level 2,16,Lawrence Lau,"2, 4-13"
CIVE1015/L1/01,Hydraulics 1,Lecture,39,Monday,15:00,18:00,3:00,DB-C04+,The Lord Dearing Building - Teaching Room C04,48,Fangfang Zhu,"2, 4-14"
CIVE2025/L1/01,Hydraulics 2,Lecture,11,Monday,15:00,18:00,3:00,PB-205+,Portland Building-Seminar Room 205 - Level 2,20,James Walker,"2, 4-14"
CIVE3073/L1/01,Structural Concrete Design,Lecture,22,Monday,15:00,18:00,3:00,DB-C01+,The Lord Dearing Building - Teaching Room C01,30,Yung-Tsang Chen,"2, 4-14"
,,,,,,,,,,,,
Tuesday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
CIVE1018/L1/01,Portfolio of Civil Engineering Studies,Lecture,40,Tuesday,9:00,13:00,4:00,DB-A04+,DB-A04 - Teaching Room A04,60,"Yunming Yang,Yung-Tsang Chen,Juan Wang,Jing Bie,James Walker,Fangfang Zhu,Byung-Gyoo Kang,Bo Li,Ahmed Elamin",2
CIVE1018&2052/L1 (Tue a.m.)/01,Portfolio of Civil Engineering Studies,Lecture,10,Tuesday,9:00,12:00,3:00,"PB-226(COMP)+,PB-119(COMP)+,DB-A04+,DB-A01+","Portland Building-Computer Lab -226 Level 2,Portland Building-Computer Lab 119 - Level 1,DB-A04 - Teaching Room A04,The Lord Dearing Building - Teaching Room A01","72,35,60,30",,4月14日
CIVE1018&2052/L1 (Tue a.m.)/01 (staff/location refers to CIVE1018),Portfolio of Civil Engineering Studies 2,Lecture,16,Tuesday,9:00,12:00,3:00,,,,,4月14日
CIVE4081/L1/01,Analytical Methods,Lecture,8,Tuesday,11:00,13:00,2:00,PB-217+,Portland Building-Seminar Room 217 - Level 2,16,"Lawrence Lau,Huib De Ligt","2, 4-13"
CIVE3073/L2/01,Structural Concrete Design,Lecture,22,Tuesday,13:00,16:00,3:00,DB-C01+,The Lord Dearing Building - Teaching Room C01,30,Yung-Tsang Chen,"2, 4-14"
CIVE1018&2052/L1 (Tue p.m.)/01,Portfolio of Civil Engineering Studies,Lecture,10,Tuesday,15:00,18:00,3:00,"PB-226(COMP)+,PB-119(COMP)+,DB-A04+,DB-A01+","Portland Building-Computer Lab -226 Level 2,Portland Building-Computer Lab 119 - Level 1,DB-A04 - Teaching Room A04,The Lord Dearing Building - Teaching Room A01","72,35,60,30",,4月14日
CIVE1018&2052/L1 (Tue p.m.)/01 (staff/location refers to CIVE1018),Portfolio of Civil Engineering Studies 2,Lecture,16,Tuesday,15:00,18:00,3:00,,,,,4月14日
CIVE4080/L1/01,Geodetic Reference Systems,Lecture,8,Tuesday,16:00,18:00,2:00,PB-217+,Portland Building-Seminar Room 217 - Level 2,16,"Lawrence Lau,Craig Matthew Hancock","2, 4-14"
,,,,,,,,,,,,
Wednesday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
CIVE2053/L2/01,Civil & Structural Steel Design Project,Lecture,11,Wednesday,9:00,12:00,3:00,PMB-115 (teaching)*,PMB - Lab Room 115 - Level 1 - Engineering Application workshop,56,Ahmed Elamin,"2, 4-14"
CIVE4078/P1/01,Fundamentals of Satellite Positioning,Practical,8,Wednesday,9:00,12:00,3:00,PMB-309(COMP)+,PMB Computer Teaching Room 309 - Level 3 - Priority by Faculty Office of Science and Engineering,32,"Lawrence Lau,Huib De Ligt","7, 10"
