Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
GEOG1022/L1/01,Principles of Ecology,Lecture,28,Monday,9:00,11:00,2:00,DB-C01+,The Lord Dearing Building - Teaching Room C01,30,"Odette Paramor,Tengwen Long","2, 4-14"
GEOG3039/L1/01,Environmental Informatics and Modelling,Lecture,28,Monday,11:00,13:00,2:00,DB-C01+,The Lord Dearing Building - Teaching Room C01,30,"Meili Feng,Gengen He","2, 4-13"
GEOG1028/L1/01,Research Skills,Lecture,28,Monday,13:00,15:00,2:00,DB-C01+,The Lord Dearing Building - Teaching Room C01,30,Yu-Ting Tang,"2, 4-14"
GEOG1027/C1/01,Interpreting Environmental Data,Computing,28,Monday,16:00,18:00,2:00,PB-119(COMP)+,Portland Building-Computer Lab 119 - Level 1,35,Nicholas Hamm,"2, 4-13"
,,,,,,,,,,,,
Tuesday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
GEOG3039/C1/01,Environmental Informatics and Modelling,Computing,28,Tuesday,9:00,12:00,3:00,PMB-309(COMP)+,PMB Computer Teaching Room 309 - Level 3 - Priority by Faculty Office of Science and Engineering,32,"Meili Feng,Gengen He","2, 4-12"
GEOG1029/S1/01,Environmental Science & Society,Seminar,28,Tuesday,11:00,12:00,1:00,DB-C01+,The Lord Dearing Building - Teaching Room C01,30,Odette Paramor,"4, 7-9"
GEOG1027/C2/01,Interpreting Environmental Data,Computing,28,Tuesday,13:00,15:00,2:00,PMB-309(COMP)+,PMB Computer Teaching Room 309 - Level 3 - Priority by Faculty Office of Science and Engineering,32,Nicholas Hamm,"2, 4-13"
GEOG3040/L1/01,Environmental Assessment,Lecture,25,Tuesday,14:00,16:00,2:00,TB-109+,Teaching Building Seminar Room 109 - Level 1,40,Yu-Ting Tang,"2, 4-14"
GEOG1029/L1/01,Environmental Science & Society,Lecture,28,Tuesday,16:00,18:00,2:00,TB-109+,Teaching Building Seminar Room 109 - Level 1,40,"Odette Paramor,Meili Feng","2, 4-14"
,,,,,,,,,,,,
Wednesday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
GEOG1025/L1/01,Global Environmental Processes,Lecture,28,Wednesday,11:00,13:00,2:00,DB-A01+,The Lord Dearing Building - Teaching Room A01,30,Faith Chan,"2, 4-14"
GEOG3040/S1/01,Environmental Assessment,Seminar,25,Wednesday,11:00,13:00,2:00,DB-C01+,The Lord Dearing Building - Teaching Room C01,30,Yu-Ting Tang,"4, 6, 8, 10, 12"
,,,,,,,,,,,,
Thursday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
GEOG1026/L1/01,Introduction to GIS,Lecture,28,Thursday,10:00,11:00,1:00,DB-C01+,The Lord Dearing Building - Teaching Room C01,30,Gengen He,"2, 4-13"
GEOG1026/C1/01,Introduction to GIS,Computing,28,Thursday,12:00,15:00,3:00,PMB-309(COMP)+,PMB Computer Teaching Room 309 - Level 3 - Priority by Faculty Office of Science and Engineering,32,Gengen He,"2, 4-13"
GEOG3042/L1/01,Management of Freshwater and Coastal Systems,Lecture,22,Thursday,12:00,14:00,2:00,DB-C01+,The Lord Dearing Building - Teaching Room C01,30,Faith Chan,"2, 4-14"
GEOG1022/S1/01,Principles of Ecology,Seminar,28,Thursday,16:00,18:00,2:00,PMB-115 (teaching)*,PMB - Lab Room 115 - Level 1 - Engineering Application workshop,56,"Tengwen Long,Odette Paramor",9
,,,,,,,,,,,,
Friday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
GEOG1022/P1/01,Principles of Ecology,Practical,28,Friday,9:00,18:00,9:00,,,,"Vicky Wang,Tengwen Long,Odette Paramor",7
GEOG3046/L2/01,Dissertation,Lecture,30,Friday,9:00,13:00,4:00,"PMB-115 (teaching)*,DB-A06+","PMB - Lab Room 115 - Level 1 - Engineering Application workshop,The Lord Dearing Building - Teaching Room A06","56,90",Tengwen Long,9
GEOG3046/L1/01,Dissertation,Lecture,30,Friday,10:00,12:00,2:00,PMB-115 (teaching)*,PMB - Lab Room 115 - Level 1 - Engineering Application workshop,56,Tengwen Long,13
